what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576161751264
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576161751373
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1576161776479
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1576161778651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1576161780104
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1576161780948
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1576161782260
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1576161782416
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1576161782619
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1576161783323
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576161784947
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576161785603
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576161787321
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1576161790008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576161792352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161798470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161800314
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161807656
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161808593
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161808781
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161808921
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161809062
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161809218
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161809405
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161809562
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161809718
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161809858
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161810030
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161810171
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161810343
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161810514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161832617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161844309
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1576161846214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161850105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161861526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161864307
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161875440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161878268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161881860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161884675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161889539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161892383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161897348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161902023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161906335
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161909428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161912666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161916797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161920499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161922890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161927905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161933211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161937623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161941436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161948724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161952598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161957071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161959823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161965577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161969842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161978640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161982312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576161985140
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576161991317
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576161991380
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1576161998434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1576161998465
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576161999544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162002325
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576162017514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1576162021905
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576162023483
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162027265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162068051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162097701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162183228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162186399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162188944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162190054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162196100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162223853
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576162224759
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576162225243
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1576162226899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162227118
error,log,,,"Internal Error",1576162228196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162228868
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576162229461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162231788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162232437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162235188
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1576162235625
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1576162235672
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1576162235719
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1576162236406
opened,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1576162236656
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576162239312
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576162240422
closed,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1576162240567
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576162244615
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576162248661
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1576162253519
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1576162253550
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1576162253550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.closePerspective",1576162253566
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576162262142
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1576162262236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162266095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162266095
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1576162269269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162274534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162278581
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576162279221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162280893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162281346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162282892
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1576162282970
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1576162283017
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1576162283064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162312039
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576162322210
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1576162325397
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1576162325444
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1576162325444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.closePerspective",1576162325444
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576162326475
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1576162330584
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576162334023
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576162344506
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.correction.assignToLocal.assist",1576162348318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1576162356933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162358027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162358885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1576162359963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162362103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162362983
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162363920
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162364857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162365654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576162367075
