what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1582855873810
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1582855874917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1582855878665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582855882978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1582855888276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582855890746
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582855893663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582855898304
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1582855900185
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1582855900686
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1582855902286
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1582855903522
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1582855904133
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1582855905502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1582855911039
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1582855911944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582855911969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582855913054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582855917375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582855921776
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1582855922234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582855922847
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582855932478
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1582855938823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1582855946554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582855947939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582855949097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582855949963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1582855951019
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1582855951807
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1582855952686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582855953216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582855956915
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582855957875
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582855961051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582855964319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856035502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856170668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856437238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856442198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856465021
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1582856465041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856466547
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856468821
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582856471511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1582856476977
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1582856478720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1582856482921
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582856484338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856488892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856490359
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1582856506819
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582856509169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856526030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856527246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856529282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856531247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856532192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856533882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856534752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856535901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1582856541813
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineUp",1582856557405
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582856571222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856614604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582856639309
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1582856639364
