what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389043575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389327720
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389330055
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389330411
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389331484
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389331484
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389334342
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389334567
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389335549
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389335549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389338840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389353731
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1587389357856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389360373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389361134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1587389362786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389365182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389372279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1587389372650
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389374983
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389375141
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1587389386317
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1587389401105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1587389402319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389403031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389407296
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1587389408257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1587389408568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389431718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389475680
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1587389479671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389487821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389501511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389507952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389520354
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1587389526267
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1587389526289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1587389526731
error,log,,,"Internal Error",1587389528378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1587389534077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1587389536145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389542265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389560779
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389575195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389576414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389576636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389599200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1587389607482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1587389607807
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1587389608082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1587389608335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1587389608632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1587389610733
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1587389704677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1587389720098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1587389724691
error,log,,,"Internal Error",1587389727073
error,log,,,"Internal Error",1587389738356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1587389739373
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1587389740615
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1587389745361
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1587389745527
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1587389745686
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1587389746444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389746488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389748718
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1587389749805
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587389755982
error,log,,,"Internal Error",1587389856019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389857513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587389989661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587390109767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587390320807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587390331108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587390550829
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1587390553385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1587390554461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587390645025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1587390681405
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1587390685250
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1587390685337
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1587390687766
