what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576067837735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576067842635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576067854942
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576067855317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576067858036
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576067940718
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576067940790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576067943450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576067996625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576067998194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068010272
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576068010375
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576068011896
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576068013409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068014700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068030235
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576068030405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068032359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068037580
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576068037947
error,log,,,"Internal Error",1576068038054
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576068039942
opened,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1576068040071
activated,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1576068040197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068047739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068091926
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1576068091953
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1576068095028
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1576068095169
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1576068095179
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1576068095189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.closePerspective",1576068095197
activated,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1576068096028
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576068098086
closed,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1576068098086
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1576068104842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576068106837
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1576068108391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1576068110269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068110538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068112165
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1576068113649
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576068115198
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576068117199
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1576068120457
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576068121796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068124798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068128204
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576068128912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1576068136015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576068139133
