what,kind,bundleId,bundleVersion,description,time
error,log,,,"Internal Error",1582723250798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1582723266516
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1582723267485
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1582723268469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582723270359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1582723305414
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1582723307366
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1582723308147
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582723314905
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1582723330979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723331026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723332338
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1582723332776
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1582723334876
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582723342200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1582723343011
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582723345729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582723347401
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1582723349650
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1582723350119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723350806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723410167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723410260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723441326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723450971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723481089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723481433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723496371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723498118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723506062
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1582723508161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723510698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582723511143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723514626
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582723514704
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582723514766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1582723518625
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582723521687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1582723526342
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1582723527482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1582723528170
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1582723545540
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582723546916
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582723551711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1582723557694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723560240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1582723567736
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1582723576015
