what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1576203424545
arch,sysinfo,,,"x86",1576203424545
ws,sysinfo,,,"win32",1576203424545
locale,sysinfo,,,"zh_CN",1576203424545
processors,sysinfo,,,"12",1576203424545
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1576203424545
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1576203424545
java.specification.name,sysinfo,,,"Java Platform API Specification",1576203424545
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1576203424545
java.specification.version,sysinfo,,,"1.6",1576203424545
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1576203424545
java.version,sysinfo,,,"1.6.0_45",1576203424545
java.vm.info,sysinfo,,,"mixed mode, sharing",1576203424545
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1576203424545
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1576203424545
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1576203424545
java.vm.specification.version,sysinfo,,,"1.0",1576203424545
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1576203424545
java.vm.version,sysinfo,,,"20.45-b01",1576203424545
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1576203430158
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203432167
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1576203443518
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203447841
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1576203456837
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1576203459065
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203461643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203462543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203504772
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1576203506514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203512984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203525624
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203525722
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203525782
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203527212
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203531402
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576203533963
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1576203539140
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1576203539281
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1576203542792
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1576203542797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576203542905
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1576203542912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576203562668
error,log,,,"Internal Error",1576203564055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576203566327
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576203568832
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203569382
error,log,,,"Internal Error",1576203570144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203570821
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1576203570886
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576203571842
error,log,,,"Internal Error",1576203571894
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1576203576108
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576203586526
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576203592958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203598606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203616305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576203620347
error,log,,,"Internal Error",1576203622623
error,log,,,"Internal Error",1576203625103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1576203628069
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1576203628783
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1576203628800
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1576203628824
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1576203628914
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576203630081
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203636785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1576203638288
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203640275
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203640333
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1576203642758
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203642912
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203646113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576203650558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1576203653346
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1576203654072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1576203654429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203655077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203689296
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576203689892
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203691502
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1576203691646
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576203692150
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203696000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203696938
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1576203697091
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1576203697146
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1576203697186
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1576203697848
opened,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1576203697909
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576203698715
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1576203698925
closed,editor,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1576203699034
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1576203708335
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1576203708380
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1576203708382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.closePerspective",1576203708385
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576203711363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203712420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203721765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203724860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203835909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576203837394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576204228685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576204298678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576204305909
