what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1580871974556
arch,sysinfo,,,"x86",1580871974556
ws,sysinfo,,,"win32",1580871974556
locale,sysinfo,,,"zh_CN",1580871974556
processors,sysinfo,,,"12",1580871974556
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1580871974556
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1580871974556
java.specification.name,sysinfo,,,"Java Platform API Specification",1580871974556
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1580871974556
java.specification.version,sysinfo,,,"1.6",1580871974556
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1580871974556
java.version,sysinfo,,,"1.6.0_45",1580871974556
java.vm.info,sysinfo,,,"mixed mode, sharing",1580871974556
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1580871974556
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1580871974556
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1580871974556
java.vm.specification.version,sysinfo,,,"1.0",1580871974556
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1580871974556
java.vm.version,sysinfo,,,"20.45-b01",1580871974556
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1580871975571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580871976587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580872298277
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1580872327506
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1580872331319
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1580872335084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580872340037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1580872360353
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580872361008
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1580872361278
