what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577100155125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100163970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100166673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577100172644
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1577100200061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100200482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100201929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100207812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100212449
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1577100212746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577100213308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100213620
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100214824
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1577100215246
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1577100215293
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1577100215339
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1577100215371
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1577100216159
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1577100219165
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1577100219634
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1577100219884
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1577100220165
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1577100220477
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1577100220805
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1577100223633
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1577100223679
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1577100223679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.closePerspective",1577100223695
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1577100224388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100224669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100226825
error,log,,,"Internal Error",1577100238434
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577100259914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577100273477
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1577100274102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577100275008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100278736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100292225
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100295146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100298976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100300071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100301431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100302509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100329470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100331433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100344201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1577100350220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577100359908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1577100366080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1577100367486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577100368494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100370329
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100379211
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1577100383288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100383819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1577100385959
