what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576151087607
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576151087610
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1576151089132
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576151094089
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576151094290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151106199
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151118566
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1576151139327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151143034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151176320
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576151180424
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576151182735
error,log,,,"Internal Error",1576151184971
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151186628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151270413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576151276683
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1576151283844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151287970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151289323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151289825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151452315
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1576151454659
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576151455136
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1576151455181
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576151455370
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576151455665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576151467118
error,log,,,"Internal Error",1576151469559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151481337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151481957
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.correction.assignToLocal.assist",1576151482747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151484059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151486942
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576151492144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1576151493432
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1576151494438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151494702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151496763
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1576151498667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151500087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151501216
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576151501753
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1576151504894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576151508707
error,log,,,"Internal Error",1576151509275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151533809
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1576151533845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151534148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151534610
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1576151534640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151536082
error,log,,,"Internal Error",1576151536578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151549263
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1576151549284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151550898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1576151557692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151566087
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151593614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151594800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151595504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576151597356
error,log,,,"Internal Error",1576151597977
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151600510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151608394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151618712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151620215
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576151629054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1576151641811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151676932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151686962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1576151690723
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1576151726919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1576151744433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151773156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1576151930553
error,log,,,"Internal Error",1576151944468
